Inmueble;Servicio
6-101;AdmAp1
6-102;AdmAp1
6-103;AdmAp1
6-104;AdmAp1
6-105;AdmAp1
6-106;AdmAp1
6-201;AdmAp2
6-202;AdmAp2
6-203;AdmAp2
6-204;AdmAp2
6-205;AdmAp2
6-206;AdmAp2
6-301;AdmAp3
6-302;AdmAp3
6-303;AdmAp3
6-304;AdmAp3
6-305;AdmAp3
6-306;AdmAp3
6-401;AdmPen
6-402;AdmPen
6-403;AdmPen
6-404;AdmPen
6-405;AdmPen
6-406;AdmPen
PRQ01;AdmPRQS
PRQ02;AdmPRQS
PRQ03;AdmPRQS
PRQ04;AdmPRQS
PRQ05;AdmPRQS
PRQ06;AdmPRQS
PRQ07;AdmPRQS
PRQ08;AdmPRQS
PRQ09;AdmPRQS
PRQ10;AdmPRQS
PRQ11;AdmPRQS
PRQ12;AdmPRQS
PRQ13;AdmPRQS
PRQ14;AdmPRQS
PRQ15;AdmPRQS
PRQ16;AdmPRQS
PRQ17;AdmPRQS
PRQ18;AdmPRQS
PRQ19;AdmPRQD
PRQ20;AdmPRQD
PRQ21;AdmPRQD
PRQ22;AdmPRQD
PRQ23;AdmPRQD
PRQ24;AdmPRQD
DEP01;AdmDp1
DEP02;AdmDp1
DEP03;AdmDp1
DEP04;AdmDp1
DEP05;AdmDp1
DEP06;AdmDp1
DEP07;AdmDp1
DEP08;AdmDp1
DEP09;AdmDp1
DEP10;AdmDp1
DEP11;AdmDp1
DEP12;AdmDp1
DEP13;AdmDp1
DEP14;AdmDp1
DEP15;AdmDp1
DEP16;AdmDp1
DEP17;AdmDp1
DEP18;AdmDp1
DEP19;AdmDp2
DEP20;AdmDp2
DEP21;AdmDp2
DEP22;AdmDp2
DEP23;AdmDp2
DEP24;AdmDp2
